"","Date","State","TotalSamples","Negative","Positive"
"38",2020-06-20,"Andaman and Nicobar Islands",13320,NA,47
"39",2020-06-21,"Andaman and Nicobar Islands",13434,NA,48
"40",2020-06-22,"Andaman and Nicobar Islands",13511,NA,48
"41",2020-06-23,"Andaman and Nicobar Islands",13723,NA,50
"42",2020-06-24,"Andaman and Nicobar Islands",13994,NA,56
"43",2020-06-25,"Andaman and Nicobar Islands",14277,NA,59
"44",2020-06-26,"Andaman and Nicobar Islands",14583,NA,72
"45",2020-06-27,"Andaman and Nicobar Islands",14851,NA,73
"46",2020-06-28,"Andaman and Nicobar Islands",15094,NA,83
"47",2020-06-29,"Andaman and Nicobar Islands",15410,NA,90
"48",2020-06-30,"Andaman and Nicobar Islands",15709,NA,97
"49",2020-07-01,"Andaman and Nicobar Islands",15982,NA,100
"50",2020-07-02,"Andaman and Nicobar Islands",16278,NA,109
"51",2020-07-03,"Andaman and Nicobar Islands",16626,NA,116
"52",2020-07-04,"Andaman and Nicobar Islands",16832,NA,119
"53",2020-07-05,"Andaman and Nicobar Islands",16909,NA,125
"54",2020-07-06,"Andaman and Nicobar Islands",17095,NA,141
"55",2020-07-07,"Andaman and Nicobar Islands",17381,NA,147
"56",2020-07-08,"Andaman and Nicobar Islands",17643,NA,149
"57",2020-07-09,"Andaman and Nicobar Islands",17852,NA,151
"58",2020-07-10,"Andaman and Nicobar Islands",18046,NA,156
"59",2020-07-11,"Andaman and Nicobar Islands",18315,NA,163
"60",2020-07-12,"Andaman and Nicobar Islands",18447,NA,163
"61",2020-07-13,"Andaman and Nicobar Islands",18609,NA,166
"62",2020-07-14,"Andaman and Nicobar Islands",18884,NA,171
"63",2020-07-15,"Andaman and Nicobar Islands",19061,NA,176
"64",2020-07-16,"Andaman and Nicobar Islands",19227,NA,180
"65",2020-07-17,"Andaman and Nicobar Islands",19421,NA,194
"66",2020-07-18,"Andaman and Nicobar Islands",19671,NA,198
"67",2020-07-19,"Andaman and Nicobar Islands",19904,NA,203
"68",2020-07-20,"Andaman and Nicobar Islands",20301,NA,207
"69",2020-07-21,"Andaman and Nicobar Islands",20642,NA,212
"70",2020-07-22,"Andaman and Nicobar Islands",21043,NA,221
"71",2020-07-23,"Andaman and Nicobar Islands",21310,NA,240
"72",2020-07-24,"Andaman and Nicobar Islands",21743,NA,259
"73",2020-07-25,"Andaman and Nicobar Islands",21965,NA,290
"74",2020-07-26,"Andaman and Nicobar Islands",22049,NA,324
"75",2020-07-27,"Andaman and Nicobar Islands",22548,NA,338
"76",2020-07-28,"Andaman and Nicobar Islands",22925,NA,363
"77",2020-07-29,"Andaman and Nicobar Islands",23217,NA,428
"78",2020-07-30,"Andaman and Nicobar Islands",23615,NA,471
"79",2020-07-31,"Andaman and Nicobar Islands",24038,NA,548
"80",2020-08-01,"Andaman and Nicobar Islands",24308,NA,636
"81",2020-08-02,"Andaman and Nicobar Islands",24580,NA,734
"82",2020-08-03,"Andaman and Nicobar Islands",25034,NA,830
"83",2020-08-04,"Andaman and Nicobar Islands",25492,NA,928
"84",2020-08-05,"Andaman and Nicobar Islands",25826,NA,1027
"85",2020-08-06,"Andaman and Nicobar Islands",26516,NA,1123
"86",2020-08-07,"Andaman and Nicobar Islands",26915,NA,1222
"87",2020-08-08,"Andaman and Nicobar Islands",27073,NA,1351
"88",2020-08-09,"Andaman and Nicobar Islands",27103,NA,1490
"89",2020-08-10,"Andaman and Nicobar Islands",27346,NA,1625
"90",2020-08-11,"Andaman and Nicobar Islands",27455,NA,1764
"91",2020-08-12,"Andaman and Nicobar Islands",27744,NA,1900
"92",2020-08-13,"Andaman and Nicobar Islands",27973,NA,2037
"93",2020-08-14,"Andaman and Nicobar Islands",28129,NA,2186
"94",2020-08-15,"Andaman and Nicobar Islands",28209,NA,2306
"95",2020-08-16,"Andaman and Nicobar Islands",28229,NA,2399
"96",2020-08-17,"Andaman and Nicobar Islands",28672,NA,2445
"97",2020-08-18,"Andaman and Nicobar Islands",28937,NA,2529
"98",2020-08-19,"Andaman and Nicobar Islands",29303,NA,2604
"99",2020-08-20,"Andaman and Nicobar Islands",29487,NA,2680
"100",2020-08-21,"Andaman and Nicobar Islands",29573,NA,2747
"101",2020-08-22,"Andaman and Nicobar Islands",29888,NA,2808
"102",2020-08-23,"Andaman and Nicobar Islands",30278,NA,2860
"103",2020-08-24,"Andaman and Nicobar Islands",30513,NA,2904
"104",2020-08-25,"Andaman and Nicobar Islands",31082,NA,2945
"105",2020-08-26,"Andaman and Nicobar Islands",31646,NA,2985
"106",2020-08-27,"Andaman and Nicobar Islands",31830,NA,3018
"107",2020-08-28,"Andaman and Nicobar Islands",32100,NA,3050
"108",2020-08-29,"Andaman and Nicobar Islands",32407,NA,3081
"109",2020-08-30,"Andaman and Nicobar Islands",32674,NA,3104
"110",2020-08-31,"Andaman and Nicobar Islands",33485,NA,3132
"111",2020-09-01,"Andaman and Nicobar Islands",35104,NA,3160
"112",2020-09-02,"Andaman and Nicobar Islands",36136,NA,NA
"113",2020-09-03,"Andaman and Nicobar Islands",37075,NA,3223
"114",2020-09-04,"Andaman and Nicobar Islands",37825,NA,3257
"115",2020-09-05,"Andaman and Nicobar Islands",38574,NA,3292
"116",2020-09-06,"Andaman and Nicobar Islands",39205,NA,3332
"117",2020-09-07,"Andaman and Nicobar Islands",39995,NA,3359
"118",2020-09-08,"Andaman and Nicobar Islands",41039,NA,3392
"119",2020-09-09,"Andaman and Nicobar Islands",41776,NA,3426
"120",2020-09-10,"Andaman and Nicobar Islands",42792,NA,3465
"121",2020-09-11,"Andaman and Nicobar Islands",43680,NA,3494
"122",2020-09-12,"Andaman and Nicobar Islands",44570,NA,3521
"123",2020-09-13,"Andaman and Nicobar Islands",45279,NA,3546
"124",2020-09-14,"Andaman and Nicobar Islands",45987,NA,3557
"125",2020-09-15,"Andaman and Nicobar Islands",46823,NA,3574
"126",2020-09-16,"Andaman and Nicobar Islands",47794,NA,3593
"127",2020-09-17,"Andaman and Nicobar Islands",48861,NA,3604
"128",2020-09-18,"Andaman and Nicobar Islands",50035,NA,3631
"129",2020-09-19,"Andaman and Nicobar Islands",50681,NA,3644
"130",2020-09-20,"Andaman and Nicobar Islands",51262,NA,3651
"131",2020-09-21,"Andaman and Nicobar Islands",52220,NA,3673
"132",2020-09-22,"Andaman and Nicobar Islands",52845,NA,3691
"133",2020-09-23,"Andaman and Nicobar Islands",53591,NA,3712
"134",2020-09-24,"Andaman and Nicobar Islands",52992,NA,3744
"135",2020-09-25,"Andaman and Nicobar Islands",55169,NA,3759
"136",2020-09-26,"Andaman and Nicobar Islands",56059,NA,3774
"137",2020-09-27,"Andaman and Nicobar Islands",56661,NA,3794
"138",2020-09-28,"Andaman and Nicobar Islands",57343,NA,3803
"139",2020-09-29,"Andaman and Nicobar Islands",58135,NA,3821
"140",2020-09-30,"Andaman and Nicobar Islands",58763,NA,3835
"141",2020-10-01,"Andaman and Nicobar Islands",59676,NA,3848
"142",2020-10-02,"Andaman and Nicobar Islands",60437,NA,3858
"143",2020-10-03,"Andaman and Nicobar Islands",61231,NA,3868
"144",2020-10-04,"Andaman and Nicobar Islands",62103,NA,3884
"145",2020-10-05,"Andaman and Nicobar Islands",63009,NA,3899
"146",2020-10-06,"Andaman and Nicobar Islands",63790,NA,3912
"147",2020-10-07,"Andaman and Nicobar Islands",65111,NA,3935
"148",2020-10-08,"Andaman and Nicobar Islands",66244,NA,3952
"149",2020-10-09,"Andaman and Nicobar Islands",67332,NA,3976
"150",2020-10-10,"Andaman and Nicobar Islands",68464,NA,3992
"151",2020-10-11,"Andaman and Nicobar Islands",69146,NA,4005
"152",2020-10-12,"Andaman and Nicobar Islands",69932,NA,4023
"153",2020-10-13,"Andaman and Nicobar Islands",70780,NA,4036
"154",2020-10-14,"Andaman and Nicobar Islands",71624,NA,4046
"155",2020-10-15,"Andaman and Nicobar Islands",72525,NA,4062
"156",2020-10-16,"Andaman and Nicobar Islands",73363,NA,4072
"157",2020-10-17,"Andaman and Nicobar Islands",74277,NA,4083
"158",2020-10-18,"Andaman and Nicobar Islands",75030,NA,4108
"159",2020-10-19,"Andaman and Nicobar Islands",75977,NA,4126
"160",2020-10-20,"Andaman and Nicobar Islands",77200,NA,4141
"161",2020-10-21,"Andaman and Nicobar Islands",78303,NA,4168
"162",2020-10-22,"Andaman and Nicobar Islands",79301,NA,4184
"163",2020-10-23,"Andaman and Nicobar Islands",80768,NA,4207
"164",2020-10-24,"Andaman and Nicobar Islands",81880,NA,4225
"165",2020-10-25,"Andaman and Nicobar Islands",82626,NA,4245
"166",2020-10-26,"Andaman and Nicobar Islands",83115,NA,4253
"167",2020-10-27,"Andaman and Nicobar Islands",84308,NA,4274
"168",2020-10-28,"Andaman and Nicobar Islands",85378,NA,4289
"169",2020-10-29,"Andaman and Nicobar Islands",86715,NA,4305
"170",2020-10-30,"Andaman and Nicobar Islands",87789,NA,4317
"171",2020-10-31,"Andaman and Nicobar Islands",88453,NA,4332
"172",2020-11-01,"Andaman and Nicobar Islands",89559,NA,4340
"173",2020-11-02,"Andaman and Nicobar Islands",90901,NA,4352
"174",2020-11-03,"Andaman and Nicobar Islands",92249,NA,4372
"175",2020-11-04,"Andaman and Nicobar Islands",93406,NA,4389
"176",2020-11-05,"Andaman and Nicobar Islands",94639,NA,4403
"177",2020-11-06,"Andaman and Nicobar Islands",96214,NA,4420
"178",2020-11-07,"Andaman and Nicobar Islands",97603,NA,4441
"179",2020-11-08,"Andaman and Nicobar Islands",98812,NA,4450
"180",2020-11-09,"Andaman and Nicobar Islands",100025,NA,4463
"181",2020-11-10,"Andaman and Nicobar Islands",101226,NA,4477
"182",2020-11-11,"Andaman and Nicobar Islands",102433,NA,4494
"183",2020-11-12,"Andaman and Nicobar Islands",103599,NA,4507
"184",2020-11-13,"Andaman and Nicobar Islands",104785,NA,4518
"185",2020-11-14,"Andaman and Nicobar Islands",105699,NA,4527
"186",2020-11-15,"Andaman and Nicobar Islands",106734,NA,4536
"187",2020-11-16,"Andaman and Nicobar Islands",108080,NA,4557
"188",2020-11-17,"Andaman and Nicobar Islands",109646,NA,4574
"189",2020-11-18,"Andaman and Nicobar Islands",111166,NA,4593
"190",2020-11-19,"Andaman and Nicobar Islands",112792,NA,4604
"191",2020-11-20,"Andaman and Nicobar Islands",114392,NA,4617
"192",2020-11-21,"Andaman and Nicobar Islands",115968,NA,4631
"193",2020-11-22,"Andaman and Nicobar Islands",117093,NA,4641
"194",2020-11-23,"Andaman and Nicobar Islands",118654,NA,4656
"195",2020-11-24,"Andaman and Nicobar Islands",120324,NA,4667
"196",2020-11-25,"Andaman and Nicobar Islands",121931,NA,4677
"197",2020-11-26,"Andaman and Nicobar Islands",123165,NA,4682
"198",2020-11-27,"Andaman and Nicobar Islands",124832,NA,4689
"199",2020-11-28,"Andaman and Nicobar Islands",126331,NA,4698
"200",2020-11-29,"Andaman and Nicobar Islands",127912,NA,4704
"201",2020-11-30,"Andaman and Nicobar Islands",129389,NA,4710
"202",2020-12-01,"Andaman and Nicobar Islands",131080,NA,4718
"203",2020-12-02,"Andaman and Nicobar Islands",132784,NA,4723
"204",2020-12-03,"Andaman and Nicobar Islands",134355,NA,4729
"205",2020-12-04,"Andaman and Nicobar Islands",135952,NA,4742
"206",2020-12-05,"Andaman and Nicobar Islands",137648,NA,4747
"207",2020-12-06,"Andaman and Nicobar Islands",139326,NA,4758
"208",2020-12-07,"Andaman and Nicobar Islands",140961,NA,4773
"209",2020-12-08,"Andaman and Nicobar Islands",142667,NA,4778
"210",2020-12-09,"Andaman and Nicobar Islands",144401,NA,4783
"211",2020-12-10,"Andaman and Nicobar Islands",146143,NA,4791
"212",2020-12-11,"Andaman and Nicobar Islands",147806,NA,4798
"213",2020-12-12,"Andaman and Nicobar Islands",149926,NA,4805
"214",2020-12-13,"Andaman and Nicobar Islands",152004,NA,4818
"215",2020-12-14,"Andaman and Nicobar Islands",153685,NA,4834
"216",2020-12-15,"Andaman and Nicobar Islands",155454,NA,4842
"217",2020-12-16,"Andaman and Nicobar Islands",157242,NA,4850
"218",2020-12-17,"Andaman and Nicobar Islands",159027,NA,4860
"219",2020-12-18,"Andaman and Nicobar Islands",160856,NA,4869
"220",2020-12-19,"Andaman and Nicobar Islands",162821,NA,4875
"221",2020-12-20,"Andaman and Nicobar Islands",165024,NA,4881
"222",2020-12-21,"Andaman and Nicobar Islands",166845,NA,4888
"223",2020-12-22,"Andaman and Nicobar Islands",168769,NA,4893
"224",2020-12-23,"Andaman and Nicobar Islands",170666,NA,4896
"225",2020-12-24,"Andaman and Nicobar Islands",172756,NA,4901
"226",2020-12-25,"Andaman and Nicobar Islands",174482,NA,4912
"227",2020-12-26,"Andaman and Nicobar Islands",175578,NA,4912
"228",2020-12-27,"Andaman and Nicobar Islands",176898,NA,4924
"229",2020-12-28,"Andaman and Nicobar Islands",177926,NA,4929
"230",2020-12-29,"Andaman and Nicobar Islands",179444,NA,4936
"231",2020-12-30,"Andaman and Nicobar Islands",180626,NA,4941
"232",2020-12-31,"Andaman and Nicobar Islands",181640,NA,4945
"233",2021-01-01,"Andaman and Nicobar Islands",182631,NA,4946
"234",2021-01-02,"Andaman and Nicobar Islands",183725,NA,4947
"235",2021-01-03,"Andaman and Nicobar Islands",184955,NA,4948
"236",2021-01-04,"Andaman and Nicobar Islands",186140,NA,4948
"237",2021-01-05,"Andaman and Nicobar Islands",187115,NA,4949
"238",2021-01-06,"Andaman and Nicobar Islands",188351,NA,4949
"239",2021-01-07,"Andaman and Nicobar Islands",190031,NA,4958
"240",2021-01-08,"Andaman and Nicobar Islands",191206,NA,4959
"241",2021-01-09,"Andaman and Nicobar Islands",192560,NA,4959
"242",2021-01-10,"Andaman and Nicobar Islands",193719,NA,4960
"243",2021-01-11,"Andaman and Nicobar Islands",195351,NA,4963
"244",2021-01-12,"Andaman and Nicobar Islands",196859,NA,4966
"245",2021-01-13,"Andaman and Nicobar Islands",198478,NA,4969
"246",2021-01-14,"Andaman and Nicobar Islands",199805,NA,4976
"247",2021-01-15,"Andaman and Nicobar Islands",200953,NA,4979
"248",2021-01-16,"Andaman and Nicobar Islands",202521,NA,4982
"249",2021-01-17,"Andaman and Nicobar Islands",203741,NA,4983
"250",2021-01-18,"Andaman and Nicobar Islands",205411,NA,4988
"251",2021-01-19,"Andaman and Nicobar Islands",206732,NA,4989
"252",2021-01-20,"Andaman and Nicobar Islands",208179,NA,4991
"253",2021-01-21,"Andaman and Nicobar Islands",209437,NA,4991
"254",2021-01-22,"Andaman and Nicobar Islands",210762,NA,4992
"255",2021-01-23,"Andaman and Nicobar Islands",212393,NA,4993
"256",2021-01-24,"Andaman and Nicobar Islands",213467,NA,4993
"257",2021-01-25,"Andaman and Nicobar Islands",214915,NA,4994
"258",2021-01-26,"Andaman and Nicobar Islands",215858,NA,4994
"259",2021-01-27,"Andaman and Nicobar Islands",217007,NA,4994
"260",2021-01-28,"Andaman and Nicobar Islands",218629,NA,4994
"261",2021-01-29,"Andaman and Nicobar Islands",220484,NA,4994
"262",2021-01-30,"Andaman and Nicobar Islands",221876,NA,4994
"263",2021-01-31,"Andaman and Nicobar Islands",223137,NA,4994
"264",2021-02-01,"Andaman and Nicobar Islands",224852,NA,4994
"265",2021-02-02,"Andaman and Nicobar Islands",226584,NA,4994
"266",2021-02-03,"Andaman and Nicobar Islands",228290,NA,4994
"267",2021-02-04,"Andaman and Nicobar Islands",230133,NA,4994
"268",2021-02-05,"Andaman and Nicobar Islands",231633,NA,4997
"269",2021-02-06,"Andaman and Nicobar Islands",233597,NA,5000
"270",2021-02-07,"Andaman and Nicobar Islands",235072,NA,5001
"271",2021-02-08,"Andaman and Nicobar Islands",236643,NA,5005
"272",2021-02-09,"Andaman and Nicobar Islands",238339,NA,5007
"273",2021-02-10,"Andaman and Nicobar Islands",240362,NA,5007
"274",2021-02-11,"Andaman and Nicobar Islands",241833,NA,5007
"275",2021-02-12,"Andaman and Nicobar Islands",243631,NA,5007
"276",2021-02-13,"Andaman and Nicobar Islands",245745,NA,5009
"277",2021-02-14,"Andaman and Nicobar Islands",247289,NA,5009
"278",2021-02-15,"Andaman and Nicobar Islands",248562,NA,5009
"279",2021-02-16,"Andaman and Nicobar Islands",250037,NA,5013
"280",2021-02-17,"Andaman and Nicobar Islands",251774,NA,5014
"281",2021-02-18,"Andaman and Nicobar Islands",253718,NA,5014
"282",2021-02-19,"Andaman and Nicobar Islands",255675,NA,5014
"283",2021-02-20,"Andaman and Nicobar Islands",257213,NA,5014
"284",2021-02-21,"Andaman and Nicobar Islands",258773,NA,5014
"285",2021-02-22,"Andaman and Nicobar Islands",260324,NA,5015
"286",2021-02-23,"Andaman and Nicobar Islands",261719,NA,5016
"287",2021-02-24,"Andaman and Nicobar Islands",263090,NA,5016
"288",2021-02-25,"Andaman and Nicobar Islands",264369,NA,5016
"289",2021-02-26,"Andaman and Nicobar Islands",265852,NA,5017
"290",2021-02-27,"Andaman and Nicobar Islands",267209,NA,5018
"291",2021-02-28,"Andaman and Nicobar Islands",268499,NA,5020
"292",2021-03-01,"Andaman and Nicobar Islands",269799,NA,5020
"293",2021-03-02,"Andaman and Nicobar Islands",271193,NA,5020
"294",2021-03-03,"Andaman and Nicobar Islands",273010,NA,5022
"295",2021-03-04,"Andaman and Nicobar Islands",274849,NA,5024
"296",2021-03-05,"Andaman and Nicobar Islands",276471,NA,5024
"297",2021-03-06,"Andaman and Nicobar Islands",278437,NA,5024
"298",2021-03-07,"Andaman and Nicobar Islands",280041,NA,NA
"299",2021-03-08,"Andaman and Nicobar Islands",281955,NA,5026
"300",2021-03-09,"Andaman and Nicobar Islands",283492,NA,5028
"301",2021-03-10,"Andaman and Nicobar Islands",285087,NA,5028
"302",2021-03-11,"Andaman and Nicobar Islands",286505,NA,5028
"303",2021-03-12,"Andaman and Nicobar Islands",288197,NA,5029
"304",2021-03-13,"Andaman and Nicobar Islands",290341,NA,5030
"305",2021-03-14,"Andaman and Nicobar Islands",291842,NA,5031
"306",2021-03-15,"Andaman and Nicobar Islands",294094,NA,5031
"307",2021-03-16,"Andaman and Nicobar Islands",295827,NA,5032
"308",2021-03-17,"Andaman and Nicobar Islands",297433,NA,5035
"309",2021-03-18,"Andaman and Nicobar Islands",299048,NA,5036
"310",2021-03-19,"Andaman and Nicobar Islands",300892,NA,5038
"311",2021-03-20,"Andaman and Nicobar Islands",302566,NA,5038
"312",2021-03-21,"Andaman and Nicobar Islands",304391,NA,5039
"313",2021-03-22,"Andaman and Nicobar Islands",305778,NA,5039
"314",2021-03-23,"Andaman and Nicobar Islands",307255,NA,5039
"315",2021-03-24,"Andaman and Nicobar Islands",308812,NA,5041
"316",2021-03-25,"Andaman and Nicobar Islands",310615,NA,5042
"317",2021-03-26,"Andaman and Nicobar Islands",312378,NA,5043
"318",2021-03-27,"Andaman and Nicobar Islands",314309,NA,5044
"319",2021-03-28,"Andaman and Nicobar Islands",315818,NA,5046
"320",2021-03-29,"Andaman and Nicobar Islands",317137,NA,5052
"321",2021-03-30,"Andaman and Nicobar Islands",318382,NA,5081
"322",2021-03-31,"Andaman and Nicobar Islands",319864,NA,5083
"323",2021-04-01,"Andaman and Nicobar Islands",321456,NA,5084
"324",2021-04-02,"Andaman and Nicobar Islands",323001,NA,5084
"325",2021-04-03,"Andaman and Nicobar Islands",324207,NA,5098
"326",2021-04-04,"Andaman and Nicobar Islands",325826,NA,5109
"327",2021-04-05,"Andaman and Nicobar Islands",327270,NA,5116
"328",2021-04-06,"Andaman and Nicobar Islands",328737,NA,5123
"329",2021-04-07,"Andaman and Nicobar Islands",330481,NA,5131
"330",2021-04-08,"Andaman and Nicobar Islands",332119,NA,5149
"331",2021-04-09,"Andaman and Nicobar Islands",333671,NA,5161
"332",2021-04-10,"Andaman and Nicobar Islands",335784,NA,5175
"333",2021-04-11,"Andaman and Nicobar Islands",337833,NA,5190
"334",2021-04-12,"Andaman and Nicobar Islands",339482,NA,5201
"335",2021-04-13,"Andaman and Nicobar Islands",341557,NA,5209
"336",2021-04-14,"Andaman and Nicobar Islands",343431,NA,5247
"337",2021-04-15,"Andaman and Nicobar Islands",345485,NA,5262
"338",2021-04-16,"Andaman and Nicobar Islands",347489,NA,5289
"339",2021-04-17,"Andaman and Nicobar Islands",349739,NA,5331
"340",2021-04-18,"Andaman and Nicobar Islands",352086,NA,5390
"341",2021-04-19,"Andaman and Nicobar Islands",353754,NA,5421
"342",2021-04-20,"Andaman and Nicobar Islands",355507,NA,5466
"343",2021-04-21,"Andaman and Nicobar Islands",357442,NA,5490
"344",2021-04-22,"Andaman and Nicobar Islands",358903,NA,5527
"345",2021-04-23,"Andaman and Nicobar Islands",360595,NA,5569
"346",2021-04-24,"Andaman and Nicobar Islands",361594,NA,5614
"347",2021-04-25,"Andaman and Nicobar Islands",363056,NA,5665
"348",2021-04-26,"Andaman and Nicobar Islands",364735,NA,5716
"349",2021-04-27,"Andaman and Nicobar Islands",366683,NA,5764
"350",2021-04-28,"Andaman and Nicobar Islands",367689,NA,5816
"351",2021-04-29,"Andaman and Nicobar Islands",368945,NA,5875
"352",2021-04-30,"Andaman and Nicobar Islands",370896,NA,5949
"353",2021-05-01,"Andaman and Nicobar Islands",372214,NA,6046
"354",2021-05-02,"Andaman and Nicobar Islands",373007,NA,6084
"355",2021-05-03,"Andaman and Nicobar Islands",373785,NA,6150
"356",2021-05-04,"Andaman and Nicobar Islands",374428,NA,6181
"357",2021-05-05,"Andaman and Nicobar Islands",375095,NA,6223
"358",2021-05-06,"Andaman and Nicobar Islands",375477,NA,6255
"359",2021-05-07,"Andaman and Nicobar Islands",375967,NA,6311
"360",2021-05-08,"Andaman and Nicobar Islands",376536,NA,6341
"361",2021-05-09,"Andaman and Nicobar Islands",376933,NA,6367
"362",2021-05-10,"Andaman and Nicobar Islands",377293,NA,6398
"363",2021-05-11,"Andaman and Nicobar Islands",377516,NA,6426
"364",2021-05-12,"Andaman and Nicobar Islands",378060,NA,6470
"365",2021-05-13,"Andaman and Nicobar Islands",378462,NA,6510
"366",2021-05-14,"Andaman and Nicobar Islands",378887,NA,6542
"367",2021-05-15,"Andaman and Nicobar Islands",379096,NA,6568
"368",2021-05-16,"Andaman and Nicobar Islands",379674,NA,6603
"369",2021-05-17,"Andaman and Nicobar Islands",380102,NA,6638
"370",2021-05-18,"Andaman and Nicobar Islands",380395,NA,6674
"371",2021-05-19,"Andaman and Nicobar Islands",380853,NA,6709
"372",2021-05-20,"Andaman and Nicobar Islands",381349,NA,6758
"373",2021-05-21,"Andaman and Nicobar Islands",382015,NA,6789
"374",2021-05-22,"Andaman and Nicobar Islands",382640,NA,6820
"375",2021-05-23,"Andaman and Nicobar Islands",383265,NA,6844
"376",2021-05-24,"Andaman and Nicobar Islands",383396,NA,6853
"377",2021-05-25,"Andaman and Nicobar Islands",383727,NA,6878
"378",2021-05-26,"Andaman and Nicobar Islands",384188,NA,6901
"379",2021-05-27,"Andaman and Nicobar Islands",384528,NA,6917
"380",2021-05-28,"Andaman and Nicobar Islands",385020,NA,6936
"381",2021-05-29,"Andaman and Nicobar Islands",385564,NA,6964
"382",2021-05-30,"Andaman and Nicobar Islands",385988,NA,6984
"383",2021-05-31,"Andaman and Nicobar Islands",386613,NA,7005
"384",2021-06-01,"Andaman and Nicobar Islands",387348,NA,7018
"385",2021-06-02,"Andaman and Nicobar Islands",387871,NA,7043
"386",2021-06-03,"Andaman and Nicobar Islands",388486,NA,7070
"387",2021-06-04,"Andaman and Nicobar Islands",389152,NA,7088
"388",2021-06-05,"Andaman and Nicobar Islands",389785,NA,7105
"389",2021-06-06,"Andaman and Nicobar Islands",390574,NA,7119
"390",2020-04-02,"Andhra Pradesh",1800,1175,132
"391",2020-04-10,"Andhra Pradesh",6374,6009,365
"392",2020-04-11,"Andhra Pradesh",6958,6577,381
"393",2020-04-12,"Andhra Pradesh",6958,6553,405
"394",2020-04-13,"Andhra Pradesh",8755,8323,432
"395",2020-04-14,"Andhra Pradesh",10505,10032,473
"396",2020-04-15,"Andhra Pradesh",11613,11088,525
"397",2020-04-16,"Andhra Pradesh",20235,19701,534
"398",2020-04-17,"Andhra Pradesh",20235,NA,572
"399",2020-04-18,"Andhra Pradesh",21450,20487,603
"400",2020-04-19,"Andhra Pradesh",26958,26311,647
"401",2020-04-20,"Andhra Pradesh",30733,30011,722
"402",2020-04-21,"Andhra Pradesh",35755,34998,757
"403",2020-04-22,"Andhra Pradesh",41512,40699,813
"404",2020-04-23,"Andhra Pradesh",48032,47139,893
"405",2020-04-24,"Andhra Pradesh",54338,53383,955
"406",2020-04-25,"Andhra Pradesh",61266,60250,1016
"407",2020-04-26,"Andhra Pradesh",68034,66937,1097
"408",2020-04-27,"Andhra Pradesh",74551,73374,1177
"409",2020-04-28,"Andhra Pradesh",80334,79075,1259
"410",2020-04-29,"Andhra Pradesh",88061,86729,1332
"411",2020-04-30,"Andhra Pradesh",94558,93155,1403
"412",2020-05-01,"Andhra Pradesh",102460,100997,1463
"413",2020-05-02,"Andhra Pradesh",108403,106878,1525
"414",2020-05-03,"Andhra Pradesh",114937,113354,1583
"415",2020-05-04,"Andhra Pradesh",125229,123579,1650
"416",2020-05-05,"Andhra Pradesh",133492,131775,1717
